id_competence;Gestion des situations de crise;Force de proposition;Organisation;Rigueur;Reactivite;Autonomie;Cherche a convaincre les autres;Prend l'ascendant sur les autres;Diplomatie;Sens du contact;Ouvert aux idees des autres;Communication orale;Communication ecrite;Travail en groupe;Sens du service;Accepte les critiques;Prise de recul;Gestion du stress;Resistance a la pression;Prise de risque;inventif;Perseverence;Implication;Analyse / Diagnostique;Comprehension des enjeux;Prise dee dcision;Acteur / Dans l'action;Capacite d'adaptation;Arbitrer;Fixer les priorites;Capacite a  animer;Definition de plan d'action;Negociation
1;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;10;10;10;5;0;5;5;10;0;0;0
5;0;5;0;0;0;0;0;0;5;10;0;0;5;5;5;5;0;0;0;5;5;0;0;0;10;0;0;0;5;0;5;0;10
6;10;5;10;10;10;5;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;5;0;5;5;0;10;5;0;10;5
7;10;10;0;0;5;5;5;0;5;5;5;5;5;0;5;5;10;5;10;0;0;5;5;5;10;0;0;5;0;0;5;5;10
8;10;5;5;5;10;0;5;5;5;5;5;10;5;5;0;5;5;10;5;0;0;0;0;0;0;0;5;5;5;10;5;5;5
9;0;0;0;10;5;0;0;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0;0
